iter	Passed	Remaining
0	138	137948
1	138	69158
2	139	46228
3	139	34761
4	140	27885
5	140	23308
6	141	20039
7	141	17581
8	142	15671
9	142	14145
10	143	12889
11	143	11849
12	144	10964
13	144	10208
14	145	9549
15	145	8976
16	146	8471
17	147	8021
18	147	7619
19	148	7256
20	148	6927
21	149	6628
22	149	6355
23	150	6105
24	150	5874
25	151	5664
26	151	5467
27	152	5284
28	152	5114
29	153	4956
30	153	4807
31	154	4670
32	154	4540
33	155	4416
34	155	4299
35	156	4191
36	157	4086
37	157	3987
38	157	3893
39	158	3803
40	158	3718
41	159	3638
42	160	3561
43	160	3488
44	161	3419
45	161	3352
46	162	3287
47	162	3225
48	163	3165
49	163	3108
50	164	3053
51	164	3000
52	165	2949
53	165	2900
54	166	2855
55	166	2811
56	167	2767
57	167	2725
58	168	2684
59	168	2644
60	169	2606
61	169	2569
62	170	2532
63	170	2497
64	171	2465
65	172	2434
66	172	2402
67	173	2372
68	173	2342
69	174	2312
70	174	2283
71	174	2255
72	175	2227
73	175	2201
74	176	2175
75	176	2150
76	177	2131
77	178	2107
78	178	2083
79	179	2061
80	179	2038
81	180	2017
82	180	1993
83	180	1973
84	181	1953
85	182	1935
86	182	1917
87	183	1898
88	183	1880
89	184	1862
90	184	1846
91	185	1829
92	185	1812
93	186	1796
94	187	1781
95	187	1768
96	188	1753
97	188	1738
98	189	1723
99	189	1708
100	190	1694
101	190	1680
102	191	1666
103	191	1652
104	192	1639
105	192	1626
106	193	1614
107	193	1601
108	194	1589
109	195	1577
110	195	1566
111	196	1554
112	196	1542
113	196	1530
114	197	1519
115	197	1508
116	198	1497
117	198	1486
118	199	1476
119	199	1465
120	200	1455
121	200	1444
122	201	1434
123	201	1425
124	202	1415
125	202	1406
126	203	1396
127	203	1387
128	204	1378
129	204	1369
130	205	1360
131	205	1352
132	206	1343
133	206	1335
134	207	1326
135	207	1318
136	208	1310
137	208	1302
138	209	1295
139	209	1287
140	210	1280
141	210	1271
142	210	1264
143	211	1257
144	211	1249
145	212	1242
146	212	1235
147	213	1228
148	213	1222
149	214	1215
150	215	1208
151	215	1202
152	216	1195
153	216	1189
154	216	1182
155	217	1176
156	217	1170
157	218	1164
158	218	1157
159	219	1151
160	219	1145
161	220	1139
162	221	1134
163	221	1129
164	222	1123
165	222	1119
166	223	1113
167	223	1108
168	224	1102
169	224	1097
170	225	1092
171	225	1087
172	226	1082
173	226	1076
174	227	1071
175	227	1066
176	228	1061
177	228	1056
178	229	1051
179	229	1046
180	230	1041
181	230	1036
182	231	1031
183	231	1027
184	232	1022
185	232	1017
186	233	1013
187	233	1008
188	234	1004
189	234	999
190	235	995
191	235	991
192	236	986
193	236	982
194	237	978
195	237	974
196	238	970
197	238	966
198	239	962
199	239	957
200	239	953
201	240	949
202	240	945
203	241	941
204	241	938
205	242	934
206	242	930
207	243	926
208	243	922
209	244	918
210	244	915
211	245	911
212	245	907
213	246	904
214	246	900
215	247	897
216	247	893
217	248	890
218	248	886
219	249	883
220	249	879
221	250	876
222	250	873
223	251	870
224	251	867
225	252	864
226	252	861
227	253	857
228	253	854
229	254	851
230	254	848
231	255	845
232	255	842
233	256	839
234	256	836
235	257	833
236	257	830
237	258	827
238	258	824
239	259	821
240	259	818
241	260	815
242	260	812
243	261	809
244	261	806
245	262	803
246	262	801
247	263	798
248	263	795
249	264	792
250	264	790
251	265	787
252	265	785
253	266	782
254	267	780
255	267	777
256	268	775
257	268	772
258	269	770
259	269	767
260	270	765
261	270	762
262	271	760
263	271	757
264	272	755
265	272	753
266	273	750
267	273	748
268	274	745
269	275	743
270	275	741
271	275	738
272	276	736
273	276	733
274	277	731
275	277	729
276	278	726
277	278	724
278	279	722
279	280	720
280	280	717
281	281	715
282	281	713
283	281	710
284	282	708
285	282	706
286	283	704
287	283	701
288	284	700
289	285	698
290	285	695
291	286	693
292	286	691
293	287	689
294	287	687
295	288	685
296	288	683
297	289	681
298	289	679
299	290	677
300	291	675
301	291	673
302	292	671
303	292	669
304	293	667
305	293	666
306	294	664
307	294	662
308	295	660
309	295	658
310	296	656
311	296	654
312	297	652
313	297	650
314	298	649
315	299	647
316	299	645
317	300	643
318	300	642
319	301	640
320	301	638
321	302	636
322	302	634
323	303	633
324	303	631
325	304	629
326	305	627
327	305	626
328	306	624
329	306	622
330	307	620
331	307	619
332	308	617
333	308	615
334	309	613
335	309	612
336	310	610
337	310	608
338	311	607
339	311	605
340	312	603
341	313	602
342	313	600
343	314	599
344	314	597
345	315	595
346	315	594
347	316	592
348	316	591
349	317	589
350	317	587
351	318	586
352	319	584
353	319	583
354	320	581
355	320	580
356	321	578
357	321	576
358	322	575
359	322	573
360	323	572
361	323	570
362	324	569
363	324	567
364	325	566
365	326	565
366	326	563
367	327	562
368	327	560
369	328	559
370	329	557
371	329	556
372	330	555
373	331	554
374	331	552
375	332	551
376	332	550
377	333	548
378	333	547
379	334	545
380	335	544
381	335	542
382	336	541
383	336	539
384	337	538
385	337	537
386	338	535
387	338	534
388	339	533
389	339	531
390	340	530
391	340	528
392	341	527
393	341	526
394	342	524
395	343	523
396	343	521
397	344	520
398	344	519
399	345	517
400	345	516
401	346	515
402	346	513
403	347	512
404	347	511
405	348	509
406	348	508
407	349	507
408	350	505
409	350	504
410	351	503
411	351	501
412	352	500
413	352	499
414	353	497
415	353	496
416	354	495
417	354	494
418	355	492
419	355	491
420	356	490
421	356	488
422	357	487
423	357	486
424	358	485
425	359	483
426	359	482
427	360	481
428	361	480
429	361	479
430	362	478
431	362	476
432	363	475
433	363	474
434	364	473
435	364	471
436	365	470
437	365	469
438	366	468
439	366	466
440	367	465
441	367	464
442	368	463
443	368	462
444	369	460
445	369	459
446	370	458
447	371	457
448	371	456
449	372	454
450	372	453
451	373	452
452	373	451
453	374	450
454	374	448
455	375	447
456	375	446
457	376	445
458	376	444
459	377	443
460	378	441
461	378	440
462	379	439
463	379	438
464	380	437
465	380	436
466	381	435
467	381	433
468	382	432
469	382	431
470	383	430
471	383	429
472	384	428
473	384	427
474	385	425
475	385	424
476	386	423
477	386	422
478	387	421
479	388	420
480	388	419
481	389	418
482	389	417
483	390	416
484	390	414
485	391	413
486	391	412
487	392	411
488	393	410
489	393	409
490	394	408
491	394	407
492	395	406
493	395	405
494	396	404
495	396	403
496	397	402
497	397	401
498	398	400
499	398	398
500	399	397
501	400	396
502	400	395
503	401	394
504	401	393
505	402	392
506	402	391
507	403	390
508	403	389
509	404	388
510	404	387
511	405	386
512	405	385
513	406	384
514	406	383
515	407	382
516	407	381
517	408	380
518	409	379
519	409	378
520	410	377
521	410	376
522	411	374
523	411	373
524	412	372
525	412	371
526	413	370
527	413	369
528	414	368
529	414	367
530	415	366
531	415	365
532	416	364
533	417	363
534	417	362
535	418	361
536	418	360
537	419	359
538	419	358
539	420	357
540	420	356
541	421	355
542	421	355
543	422	354
544	422	353
545	423	352
546	423	351
547	424	350
548	424	349
549	425	348
550	426	347
551	426	346
552	427	345
553	427	344
554	428	343
555	428	342
556	429	341
557	429	340
558	430	339
559	430	338
560	431	337
561	431	336
562	432	335
563	432	334
564	433	333
565	433	332
566	434	331
567	434	330
568	435	329
569	435	328
570	436	327
571	436	326
572	437	325
573	437	324
574	438	323
575	438	322
576	439	321
577	439	320
578	440	319
579	440	318
580	441	318
581	441	317
582	442	316
583	442	315
584	443	314
585	443	313
586	443	312
587	444	311
588	444	310
589	445	309
590	445	308
591	446	307
592	446	306
593	447	305
594	447	304
595	448	303
596	448	303
597	449	302
598	449	301
599	450	300
600	450	299
601	451	298
602	451	297
603	452	296
604	452	295
605	453	294
606	453	293
607	454	292
608	454	292
609	455	291
610	455	290
611	456	289
612	456	288
613	457	287
614	457	286
615	458	285
616	458	284
617	459	283
618	459	283
619	460	282
620	460	281
621	461	280
622	461	279
623	462	278
624	462	277
625	463	276
626	463	275
627	464	275
628	464	274
629	465	273
630	465	272
631	466	271
632	466	270
633	467	269
634	467	268
635	468	268
636	468	267
637	469	266
638	469	265
639	470	264
640	470	263
641	471	262
642	471	262
643	472	261
644	472	260
645	473	259
646	473	258
647	474	257
648	475	256
649	475	256
650	476	255
651	476	254
652	477	253
653	477	252
654	478	251
655	478	250
656	479	250
657	479	249
658	480	248
659	480	247
660	481	246
661	481	245
662	482	245
663	482	244
664	483	243
665	483	242
666	484	241
667	484	240
668	485	240
669	485	239
670	486	238
671	486	237
672	487	236
673	487	235
674	488	235
675	488	234
676	489	233
677	489	232
678	490	231
679	490	230
680	491	230
681	491	229
682	492	228
683	492	227
684	493	226
685	493	225
686	494	225
687	494	224
688	495	223
689	495	222
690	496	221
691	496	221
692	497	220
693	497	219
694	498	218
695	498	217
696	499	217
697	499	216
698	500	215
699	500	214
700	501	213
701	501	212
702	502	212
703	502	211
704	503	210
705	503	209
706	504	208
707	504	208
708	505	207
709	505	206
710	506	205
711	506	205
712	507	204
713	507	203
714	508	202
715	508	201
716	509	201
717	509	200
718	510	199
719	510	198
720	511	197
721	512	197
722	512	196
723	513	195
724	513	194
725	514	193
726	514	193
727	514	192
728	515	191
729	516	190
730	516	190
731	517	189
732	517	188
733	518	187
734	518	186
735	519	186
736	519	185
737	520	184
738	520	183
739	521	183
740	521	182
741	522	181
742	522	180
743	523	180
744	523	179
745	524	178
746	524	177
747	525	176
748	525	176
749	526	175
750	526	174
751	527	173
752	527	173
753	528	172
754	528	171
755	529	170
756	530	170
757	530	169
758	531	168
759	531	167
760	532	167
761	532	166
762	533	165
763	533	164
764	534	164
765	534	163
766	535	162
767	535	161
768	536	161
769	536	160
770	537	159
771	537	158
772	538	158
773	538	157
774	539	156
775	539	155
776	540	155
777	540	154
778	541	153
779	541	152
780	542	152
781	542	151
782	543	150
783	544	149
784	544	149
785	545	148
786	545	147
787	546	146
788	546	146
789	547	145
790	547	144
791	548	143
792	548	143
793	549	142
794	549	141
795	550	141
796	550	140
797	551	139
798	551	138
799	552	138
800	552	137
801	553	136
802	553	135
803	554	135
804	555	134
805	555	133
806	556	132
807	556	132
808	557	131
809	557	130
810	558	130
811	558	129
812	559	128
813	559	127
814	560	127
815	560	126
816	561	125
817	561	124
818	562	124
819	562	123
820	563	122
821	563	122
822	564	121
823	564	120
824	565	119
825	565	119
826	566	118
827	566	117
828	567	117
829	567	116
830	568	115
831	568	114
832	569	114
833	569	113
834	570	112
835	570	111
836	571	111
837	571	110
838	572	109
839	572	109
840	573	108
841	573	107
842	574	106
843	574	106
844	575	105
845	575	104
846	576	104
847	576	103
848	577	102
849	577	101
